uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,state
0e18d0d3-ed38-4e7f-a18e-507a78ad901d,OIL! Tankstelle München,OIL!,EVERSBUSCHSTRASSE 33,0,80999,MÜNCHEN,48.1807,11.4609,1970-01-01 01:00:00+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""07:00"",""endp"":""20:00""}]},{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",Bayern
e4e50be1-a0dd-4d07-95d9-de4d6573cc17,Aral Tankstelle,ARAL,AICHACHER STRASSE,26,86316,FRIEDBERG,48.3614044,10.98779,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":1,""periods"":[{""startp"":""00:00"",""endp"":""23:59""}]},{""applicable_days"":126,""periods"":[{""startp"":""00:00"",""endp"":""00:00""}]}]}",Bayern
e4e48d10-0b37-4ecf-a0bd-552b0302a4af,Kirchdorf Hauptstraße 1,OMV,HAUPTSTR.,1,85414,KIRCHDORF,48.45841,11.6526,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""19:30""}]},{""applicable_days"":32,""periods"":[{""startp"":""06:30"",""endp"":""19:30""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:30"",""endp"":""19:30""}]}]}",Bayern
e4b3161b-269e-41f9-8c56-d813a6733668,TotalEnergies Muenchen,TOTAL,LEONRODSTR. 48,0,80636,MUENCHEN,48.157499,11.543893,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",Bayern
e5bdb1cc-d078-40eb-86f6-35a000c3828c,AVIA XPress Automatenstation,AVIA XPRESS,COBURGER STRASSE,36,96237,EBERSDORF B. COBURG,50.22242,11.05858,2014-03-18 16:45:31+01,no data,Bayern
00061384-0005-4444-8888-acdc00000005,EDEKA Tankstelle,EDEKA,AUGSBURGER STRASSE ,45,86529,SCHROBENHAUSEN,48.55057144165,11.260880470276,2014-03-18 16:45:31+01,no data,Bayern
7b09e6de-824e-4cf8-82b8-4aafef6e9e30,Strullendorf Bamberger Strasse 31,OMV,BAMBERGER STR.,31,96129,STRULLENDORF,49.84706,10.96444,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",Bayern
e41f2c48-d414-4e95-ab8e-60fdd828dac5,Aral Tankstelle,ARAL,COBURGER STRASSE,64,96215,LICHTENFELS,50.1510468,11.05926,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",Bayern
7b2fc7a4-f619-4994-aa91-ce5d880899e0,Shell Muenchen Menziger Str. 10,SHELL,MENZIGER STR.,10,80638,MUENCHEN,48.160089,11.511804,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""00:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",Bayern
5cd66d84-34dc-4bd1-ae85-820e92b96b2f,Tankstelle Fruechtl,FREIE,AM LAUSER ,1,93102,PFATTER,48.95842,12.36776,2014-03-18 16:45:31+01,no data,Bayern
23af9c8c-bab9-4ad1-beba-18731888c27c,NUERNBERG - SCHAFHOFSTR. 9,SUPOL,SCHAFHOFSTR.,9,90411,NUERNBERG,49.480701,11.117134,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""23:00""}]},{""applicable_days"":224,""periods"":[{""startp"":""08:00"",""endp"":""23:00""}]}]}",Bayern
e3afe9aa-5d1a-4661-8c18-ebdeb230131c,Raststätte Mindeltal,FREIE,CARL-ZEISS-STRASSE ,16,86470,THANNHAUSEN,48.28845,10.45632,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",Bayern
23b96f69-1bb7-413f-a600-ba7ae73b60b7,BayWa Tankstelle  Passau-Grubweg ,BAYWA,BAYWA STR.,6,94034,PASSAU-GRUBWEG,48.58729,13.49957,2014-03-18 16:45:31+01,no data,Bayern
e2fcc5a0-24d1-4044-a7e3-0155da86b8cf,Kaufmarkt Mindelheim,FREIE TANKSTELLE KAUFMARKT,HEIMENEGGER WEG ,3,87719,MINDELHEIM,48.04628,10.51017,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""20:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""08:00"",""endp"":""20:00""}]}]}",Bayern
e2e3c679-ab66-4c50-9345-d64086779773,Nittenau Brucker Strasse 16,OMV,BRUCKER STR.,16,93149,NITTENAU,49.20208,12.2801,2014-03-18 16:45:31+01,no data,Bayern
00061407-0004-4444-8888-acdc00000004,E-Center Tankstelle,EDEKA,AM AUSSICHTSTURM ,3,83512,WASSERBURG,48.056179046631,12.236330032349,2014-03-18 16:45:31+01,no data,Bayern
23bd74f3-2173-4f7d-afc2-5404536e8eb7,GT-Franken Automobile,FREIE TANKSTELLE,HERSBRUCKER STRASSE,37,91224,HARTMANNSHOF,49.495895,11.549695,2014-03-18 16:45:31+01,no data,Bayern
7b8c1a68-6ec8-4517-b972-d69f6085d5ed,Aral Tankstelle,ARAL,LANDSHUTER STRASSE,42,85368,MOOSBURG,48.46395,11.9398136,2014-03-18 16:45:31+01,no data,Bayern
e2b1503f-6be0-4f7b-979f-b105f3ab28c9,München Freisinger Landstrasse 9,OMV,FREISINGER LANDSTR.,9,80939,MÜNCHEN,48.19044,11.61779,2014-03-18 16:45:31+01,no data,Bayern
