uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,state,diesel,e5,e10,date
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.369,1.559,1.499,2021-05-01 05:05:11+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.359,1.559,1.499,2021-05-01 05:21:08+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.349,1.539,1.479,2021-05-01 06:23:08+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.339,1.539,1.479,2021-05-01 06:51:06+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.379,1.579,1.519,2021-05-01 07:17:06+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.339,1.529,1.469,2021-05-01 07:53:08+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.379,1.569,1.509,2021-05-01 10:27:06+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.359,1.549,1.489,2021-05-01 10:53:09+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.339,1.529,1.469,2021-05-01 11:23:08+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.379,1.569,1.509,2021-05-01 13:23:08+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.339,1.529,1.469,2021-05-01 13:51:07+00:00
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.444789887363,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern,1.359,1.549,1.489,2021-05-01 15:23:08+00:00
