uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,state
e0716e5c-68a9-4c88-95d7-c136fcc598cb,AVIA Tankstelle,AVIA,DR.-DÖRFLER-STRASSE,2a,92224,AMBERG,49.44478988736301,11.877495473043,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern
8518ca89-3e04-4b37-9289-eb7bab447bd8,Aral Tankstelle,ARAL,REGENSBURGER STRASSE,70a,92224,AMBERG,49.4379845,11.8788233,2014-03-18 16:45:31+01,no data,Bayern
51d4b680-a095-1aa0-e100-80009459e03a,JET AMBERG BAYREUTHER STR. 78,JET,BAYREUTHER STR. 78,78b,92224,AMBERG,49.4618,11.851,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":55,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":72,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern
dd2449aa-fefb-46a7-9a75-705e862606c6,Esso Tankstelle,ESSO,KURFUERSTENRING 6-8, ,92224,AMBERG,49.442689,11.859816,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern
609aef98-9539-4e07-a335-c61af6cc7bfb,Aral Tankstelle,ARAL,NÜRNBERGER STRASSE,2,92224,AMBERG,49.44449,11.8409176,2014-03-18 16:45:31+01,no data,Bayern
d186c587-5a1e-45e8-b30f-22d2ee33906a,SB-Markttankstelle Amberg Am Bergsteig,SB-MARKTTANKSTELLE,AM BERGSTEIG,1,92224,AMBERG,49.4332,11.8869,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":32,""periods"":[{""startp"":""06:30"",""endp"":""20:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:30"",""endp"":""20:30""}]}]}",Bayern
78659dd8-fb69-4fc4-a812-4276b130f361,Autohaus Schwarzkopf,SCHWARZKOPF,BAYREUTHER STR. ,39 - 41,92224,AMBERG,49.461254,11.850315,2014-03-18 16:45:31+01,no data,Bayern
57b29b67-6fc2-42d4-9665-c9155f97ad34,Shell Amberg Drahthammerstr. 22,SHELL,DRAHTHAMMERSTR.,22,92224,AMBERG,49.436506,11.871004,2014-03-18 16:45:31+01,"{""overrides"":[{""startp"":""2021-06-01 04:30"",""endp"":""2021-06-01 22:30"",""is_close"":false},{""startp"":""2021-06-02 04:30"",""endp"":""2021-06-02 22:30"",""is_close"":false},{""startp"":""2021-06-03 04:30"",""endp"":""2021-06-03 22:30"",""is_close"":false},{""startp"":""2021-06-04 04:30"",""endp"":""2021-06-04 22:30"",""is_close"":false},{""startp"":""2021-06-07 04:30"",""endp"":""2021-06-07 22:30"",""is_close"":false},{""startp"":""2021-06-05 06:30"",""endp"":""2021-06-05 22:30"",""is_close"":false},{""startp"":""2021-06-06 06:30"",""endp"":""2021-06-06 22:30"",""is_close"":false}],""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""00:00"",""endp"":""00:00""}]}]}",Bayern
51d4b6ba-a095-1aa0-e100-80009459e03a,"Supermarkt-Tankstelle am real,- Markt AMBERG FUGGERSTR. 4","SUPERMARKT-TANKSTELLE AM REAL,- MARKT",FUGGERSTR. 4,0,92224,AMBERG,49.4431,11.8409,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":23,""periods"":[{""startp"":""06:30"",""endp"":""20:30""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""20:00""}]}]}",Bayern
08c2a0d0-199d-401a-b33c-29a7d7f9a501,Amberg Köferinger Strasse 2,OMV,KÖFERINGER STR.,2,92224,AMBERG,49.43697,11.85764,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""00:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""00:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",Bayern
